PRIMARY_LABEL,PRIMARY_CONTEXT,THRESHOLD
EXPLICIT NUDITY & SUGGESTIVE,EXPLICIT NUDITY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SENSUAL,0.99
EXPLICIT NUDITY & SUGGESTIVE,TOPLESS WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE WOMEN BODYBUILDER,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE MAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY & HOT WOMAN SHOWING SEXY BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY & HOT WOMAN EXPOSING SEXY BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY WOMAN IN COSPLAY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY WOMAN SWIMMING,0.99
EXPLICIT NUDITY & SUGGESTIVE,BREAST CLEAVAGE,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE NIPPLE SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,BARED BREAST SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,BARED BREAST SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE BOOBS SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,BARED BOOBS SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE BUTT SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,BARED BUTT SHOWING WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY BEACH COSTUM WORE WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY SWIMMING COSTUM WORE WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY BIKINI WORE WOMAN BODYBUILDER,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY BIKINI WORE WOMAN EXPOSING SEXY BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY BIKINI WORE WOMAN EXPOSING SEXY BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY SWIMWEAR WORE WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY LINGERIE WORE WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY THONG WORE WOMAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE WOMAN EXPOSING NUDE BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,NUDE WOMAN SHOWING NUDE BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY & HOT WOMAN EXPOSING SEXY BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXY & HOT WOMAN SHOWING SEXY BODY,0.99
EXPLICIT NUDITY & SUGGESTIVE,SHIRTLESS MAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,MAN SHOWING NUDE CHEST,0.99
EXPLICIT NUDITY & SUGGESTIVE,MAN SHOWING BARED CHEST,0.99
EXPLICIT NUDITY & SUGGESTIVE,HALF-NUDE MAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,BARECHESTED MAN,0.99
EXPLICIT NUDITY & SUGGESTIVE,EROTIC-ART,0.99
EXPLICIT NUDITY & SUGGESTIVE,SEXUAL-TOY,0.99
ALCOHOL,ALCOHOL,0.99
ALCOHOL,ALCOHOL BOTTLE,0.99
ALCOHOL,ALCOHOL GLASS,0.99
ALCOHOL,ALCOHOL BOTTLE ON THE TABLE,0.99
ALCOHOL,ALCOHOL GLASS ON THE TABLE,0.99
ALCOHOL,ALCOHOL GLASS KEPT,0.99
ALCOHOL,WINE,0.99
ALCOHOL,WINE BOTTLE,0.99
ALCOHOL,WINE GLASS,0.99
ALCOHOL,WINE BOTTLE ON THE TABLE,0.99
ALCOHOL,WINE GLASS ON THE TABLE,0.99
ALCOHOL,WINE BOTTLE,0.99
ALCOHOL,WINE GLASS,0.99
ALCOHOL,BEER,0.99
ALCOHOL,BEER-TIN-CANS,0.99
ALCOHOL,BEER BOTTLE,0.99
ALCOHOL,BEER GLASS,0.99
ALCOHOL,BEER BOTTLE ON THE TABLE,0.99
ALCOHOL,BEER-TIN-CANS ON THE TABLE,0.99
ALCOHOL,BEER GLASS ON THE TABLE,0.99
ALCOHOL,BEER BOTTLE,0.99
ALCOHOL,BEER-TIN-CANS,0.99
ALCOHOL,BEER GLASS,0.99
ALCOHOL,CHAMPAGNE,0.99
ALCOHOL,CHAMPAGNE BOTTLE,0.99
ALCOHOL,CHAMPAGNE GLASS,0.99
ALCOHOL,CHAMPAGNE BOTTLE ON THE TABLE,0.99
ALCOHOL,CHAMPAGNE GLASS ON THE TABLE,0.99
ALCOHOL,ALCOHOL BOTTLE,0.99
ALCOHOL,CHAMPAGNE BOTTLE,0.99
ALCOHOL,CHAMPAGNE GLASS,0.99
ALCOHOL,WHISKEY,0.99
ALCOHOL,SCOTCH,0.99
ALCOHOL,COCKTAIL,0.99
DRUGS & TOBACCO,TOBACCO,0.99
DRUGS & TOBACCO,CIGARETTE,0.99
DRUGS & TOBACCO,CIGARETTE SMOKING,0.99
DRUGS & TOBACCO,SMOKING CIGARETTE,0.99
DRUGS & TOBACCO,E-CIGARETTE,0.99
DRUGS & TOBACCO,CIGAR,0.99
DRUGS & TOBACCO,SMOKING CIGAR,0.99
DRUGS & TOBACCO,MAN SMOKING CIGAR,0.99
DRUGS & TOBACCO,WOMAN SMOKING CIGAR,0.99
DRUGS & TOBACCO,NICOTINE,0.99
DRUGS & TOBACCO,MARIJUANA,0.99
DRUGS & TOBACCO,MARIJUANA ROLLED,0.99
DRUGS & TOBACCO,CANNABIS,0.99
DRUGS & TOBACCO,CANNABIS ROLLED,0.99
DRUGS & TOBACCO,CANNABIS SATIVA,0.99
DRUGS & TOBACCO,WEED,0.99
DRUGS & TOBACCO,HOOKAH,0.99
DRUGS & TOBACCO,HOOKAH SMOKING,0.99
DRUGS & TOBACCO,SMOKING HOOKAH,0.99
DRUGS & TOBACCO,CHILLUM SMOKING,0.99
VIOLENCE & VISUALLY DISTURBING,VIOLENCE,0.99
VIOLENCE & VISUALLY DISTURBING,CRIME,0.99
VIOLENCE & VISUALLY DISTURBING,WEAPONS,0.99
VIOLENCE & VISUALLY DISTURBING,FIREARMS,0.99
VIOLENCE & VISUALLY DISTURBING,GUN,0.99
VIOLENCE & VISUALLY DISTURBING,LONG GUNS,0.99
VIOLENCE & VISUALLY DISTURBING,SHOTGUN,0.99
VIOLENCE & VISUALLY DISTURBING,KNIFE,0.99
VIOLENCE & VISUALLY DISTURBING,BIGGER KNIFE,0.99
VIOLENCE & VISUALLY DISTURBING,SWORD,0.99
VIOLENCE & VISUALLY DISTURBING,BATTLEAXE,0.99
VIOLENCE & VISUALLY DISTURBING,HATCHET,0.99
VIOLENCE & VISUALLY DISTURBING,BATTLE WAR,0.99
VIOLENCE & VISUALLY DISTURBING,WORLD WAR,0.99
VIOLENCE & VISUALLY DISTURBING,TERRORIST,0.99
VIOLENCE & VISUALLY DISTURBING,PROTEST,0.99
VIOLENCE & VISUALLY DISTURBING,BLOODY,0.99
VIOLENCE & VISUALLY DISTURBING,BLEEDING,0.99
VIOLENCE & VISUALLY DISTURBING,FIGHT,0.99
VIOLENCE & VISUALLY DISTURBING,ASSAULT,0.99
VIOLENCE & VISUALLY DISTURBING,HORROR,0.99
VIOLENCE & VISUALLY DISTURBING,ACCIDENT,0.99
VIOLENCE & VISUALLY DISTURBING,AIRPLANE-CRASH,0.99
VIOLENCE & VISUALLY DISTURBING,HELICOPTER-CRASH,0.99
VIOLENCE & VISUALLY DISTURBING,INJURY,0.99
VIOLENCE & VISUALLY DISTURBING,WOUND,0.99
VIOLENCE & VISUALLY DISTURBING,MURDER,0.99
VIOLENCE & VISUALLY DISTURBING,CORPSE,0.99
VIOLENCE & VISUALLY DISTURBING,GORE,0.99
VIOLENCE & VISUALLY DISTURBING,SLAUGHTER,0.99
VIOLENCE & VISUALLY DISTURBING,MASSACRE,0.99
VIOLENCE & VISUALLY DISTURBING,SUICIDE,0.99
VIOLENCE & VISUALLY DISTURBING,CAPITAL PUNISHMENT,0.99
VIOLENCE & VISUALLY DISTURBING,COSMETIC SURGERY,0.99
VIOLENCE & VISUALLY DISTURBING,AUTOPSY,0.99
VIOLENCE & VISUALLY DISTURBING,SKELETON,0.99
VIOLENCE & VISUALLY DISTURBING,BOMB EXPLOSION,0.99
VIOLENCE & VISUALLY DISTURBING,NUCLEAR EXPLOSION,0.99
VIOLENCE & VISUALLY DISTURBING,BOMB BLAST,0.99
VIOLENCE & VISUALLY DISTURBING,FIRE DISASTER,0.99
VIOLENCE & VISUALLY DISTURBING,BOWHUNTING,0.99
VIOLENCE & VISUALLY DISTURBING,GUN HUNTING,0.99
VIOLENCE & VISUALLY DISTURBING,INJECTION,0.99
VIOLENCE & VISUALLY DISTURBING,INJECTION SHOT,0.99
VIOLENCE & VISUALLY DISTURBING,MAN WITH GUN,0.99
VIOLENCE & VISUALLY DISTURBING,WOMAN WITH GUN,0.99
VIOLENCE & VISUALLY DISTURBING,SWORD,0.99
RUDE GESTURES & HATE SYMBOLS,MIDDLE FINGER SHOWING,0.99
RUDE GESTURES & HATE SYMBOLS,MIDDLE FINGER RAISING,0.99
RUDE GESTURES & HATE SYMBOLS,NAZI,0.99
RUDE GESTURES & HATE SYMBOLS,NAZI SALUTE,0.99
RUDE GESTURES & HATE SYMBOLS,NAZI PARTY,0.99
RUDE GESTURES & HATE SYMBOLS,WHITE SUPREMACY,0.99
RUDE GESTURES & HATE SYMBOLS,EXTREMIST,0.99
RUDE GESTURES & HATE SYMBOLS,RACIST,0.99
RUDE GESTURES & HATE SYMBOLS,RACISM,0.99
GAMBLING,RUMMY,0.99
GAMBLING,GAMBLE,0.99
GAMBLING,POKER,0.99
GAMBLING,ROULETTE,0.99
GAMBLING,CASINO,0.99
NEUTRAL,"NOT, NO",0.99
